User-ID,Age
1,Unknown
2,18.0
3,Unknown
4,17.0
5,Unknown
6,61.0
7,Unknown
8,Unknown
9,Unknown
10,26.0
11,14.0
12,Unknown
13,26.0
14,Unknown
15,Unknown
16,Unknown
17,Unknown
18,25.0
19,14.0
20,19.0
21,46.0
22,Unknown
23,Unknown
24,19.0
25,55.0
26,Unknown
27,32.0
28,24.0
29,19.0
30,24.0
31,20.0
32,Unknown
33,34.0
34,Unknown
35,17.0
36,24.0
37,23.0
38,34.0
39,Unknown
40,32.0
41,14.0
42,17.0
43,Unknown
44,51.0
45,Unknown
46,31.0
47,21.0
48,Unknown
49,Unknown
50,17.0
51,34.0
52,Unknown
53,Unknown
54,44.0
55,Unknown
56,24.0
57,Unknown
58,Unknown
59,23.0
60,Unknown
61,30.0
62,Unknown
63,57.0
64,32.0
65,Unknown
66,30.0
67,43.0
68,Unknown
69,Unknown
70,44.0
71,24.0
72,34.0
73,Unknown
74,30.0
75,37.0
76,Unknown
77,Unknown
78,18.0
79,20.0
80,Unknown
81,Unknown
82,Unknown
83,Unknown
84,Unknown
85,41.0
86,Unknown
87,Unknown
88,Unknown
89,54.0
90,42.0
91,Unknown
92,20.0
93,50.0
94,39.0
95,Unknown
96,Unknown
97,Unknown
98,19.0
99,42.0
100,44.0
101,26.0
102,Unknown
103,53.0
104,47.0
105,36.0
106,Unknown
107,Unknown
108,Unknown
109,20.0
110,Unknown
111,25.0
112,32.0
113,Unknown
114,57.0
115,Unknown
116,Unknown
117,57.0
118,28.0
119,35.0
120,13.0
121,Unknown
122,Unknown
123,24.0
124,58.0
125,49.0
126,24.0
127,28.0
128,Unknown
129,47.0
130,Unknown
131,Unknown
132,38.0
133,45.0
134,Unknown
135,Unknown
136,Unknown
137,Unknown
138,28.0
139,35.0
140,24.0
141,Unknown
142,Unknown
143,26.0
144,62.0
145,Unknown
146,Unknown
147,Unknown
148,63.0
149,Unknown
150,25.0
151,Unknown
152,26.0
153,24.0
154,Unknown
155,Unknown
156,20.0
157,36.0
158,38.0
159,Unknown
160,20.0
161,27.0
162,Unknown
163,Unknown
164,33.0
165,62.0
166,20.0
167,Unknown
168,44.0
169,Unknown
170,Unknown
171,29.0
172,66.0
173,Unknown
174,31.0
175,Unknown
176,34.0
177,46.0
178,28.0
179,Unknown
180,Unknown
181,Unknown
182,36.0
183,27.0
184,Unknown
185,17.0
186,Unknown
187,29.0
188,17.0
189,31.0
190,33.0
191,40.0
192,Unknown
193,23.0
194,Unknown
195,23.0
196,33.0
197,Unknown
198,21.0
199,38.0
200,27.0
201,Unknown
202,28.0
203,Unknown
204,15.0
205,23.0
206,60.0
207,Unknown
208,Unknown
209,21.0
210,54.0
211,21.0
212,21.0
213,Unknown
214,27.0
215,20.0
216,42.0
217,Unknown
218,41.0
219,Unknown
220,0.0
221,79.0
222,Unknown
223,Unknown
224,Unknown
225,Unknown
226,Unknown
227,Unknown
228,41.0
229,22.0
230,Unknown
231,Unknown
232,16.0
233,Unknown
234,25.0
235,22.0
236,Unknown
237,27.0
238,23.0
239,Unknown
240,20.0
241,Unknown
242,37.0
